t (s),V (mV)
0,26.6229
0.967,26.5878
1.932,26.5563
2.925,26.525
3.925,26.4872
4.924,26.4485
5.924,26.41
6.925,26.3684
7.925,26.3289
8.924,26.2912
9.925,26.2495
10.924,26.2117
11.925,26.1709
12.925,26.1322
13.924,26.0953
14.925,26.0532
15.925,26.0152
16.924,25.9772
17.925,25.9362
18.925,25.8977
19.924,25.859
20.925,25.8196
21.924,25.7812
22.925,25.7405
23.925,25.7016
24.925,25.6634
25.924,25.6254
26.924,25.5875
27.925,25.5472
28.925,25.5099
29.925,25.471
30.924,25.4339
31.924,25.3945
32.924,25.3576
33.925,25.3188
34.924,25.2799
35.924,25.243
36.925,25.2044
37.925,25.1662
38.925,25.1273
39.925,25.09
40.924,25.0523
41.924,25.0151
42.924,24.9767
43.925,24.9386
44.925,24.902
45.925,24.8643
46.925,24.8254
47.924,24.788
48.924,24.7512
49.924,24.713
50.925,24.6774
51.925,24.6402
52.925,24.6013
53.925,24.5638
54.924,24.5253
55.925,24.4891
56.925,24.4509
57.925,24.4139
58.925,24.3748
59.924,24.339
60.925,24.3012
61.925,24.2645
62.925,24.228
63.925,24.1922
64.925,24.1547
65.924,24.1185
66.925,24.0826
67.924,24.0476
68.925,24.0112
69.925,23.9751
70.925,23.9394
71.925,23.9035
72.925,23.8685
73.925,23.8327
74.924,23.7982
75.924,23.7622
76.924,23.7266
77.925,23.691
78.925,23.6548
79.925,23.6195
80.925,23.5846
81.925,23.5493
82.925,23.516
83.925,23.4805
84.925,23.4465
85.924,23.4116
86.925,23.3739
87.925,23.3392
88.925,23.3047
89.925,23.2705
90.924,23.2357
91.925,23.1988
92.925,23.1653
93.925,23.1306
94.925,23.0969
95.924,23.0621
96.925,23.0257
97.925,22.992
98.924,22.9597
99.924,22.9245
100.925,22.8891
101.925,22.8558
102.925,22.8228
103.924,22.7902
104.924,22.7554
105.925,22.7209
106.925,22.6892
107.925,22.6534
108.925,22.6159
109.925,22.5835
110.925,22.5524
111.925,22.5189
112.925,22.4858
113.925,22.4521
114.925,22.4184
115.925,22.3846
116.925,22.35
117.925,22.3181
118.925,22.2857
119.925,22.2529
120.925,22.2192
121.925,22.1863
122.925,22.1535
123.925,22.1209
124.924,22.0877
125.925,22.0558
126.924,22.0231
127.925,21.99
128.925,21.9579
129.925,21.9236
130.925,21.8922
131.925,21.8605
132.925,21.8297
133.925,21.7979
134.924,21.7654
135.924,21.733
136.925,21.701
137.925,21.6701
138.925,21.637
139.925,21.6053
140.925,21.5733
141.925,21.541
142.925,21.5099
143.925,21.4785
144.925,21.4468
145.925,21.4151
146.925,21.3824
147.925,21.3508
148.925,21.3194
149.925,21.2875
150.925,21.2551
151.925,21.2245
152.925,21.1927
153.925,21.1596
154.925,21.1286
155.925,21.0974
156.925,21.0651
157.925,21.0331
158.925,21.002
159.925,20.9714
160.925,20.9398
161.925,20.9085
162.925,20.8767
163.925,20.8462
164.925,20.8146
165.924,20.7841
166.924,20.7525
167.925,20.7207
168.925,20.6892
169.925,20.6588
170.925,20.6278
171.925,20.5959
172.925,20.5645
173.925,20.5338
174.925,20.4922
175.925,20.4638
176.925,20.439
177.925,20.41
178.925,20.3798
179.925,20.3492
180.925,20.3193
181.925,20.2888
182.925,20.2601
183.925,20.2288
184.925,20.1984
185.924,20.1689
186.924,20.1387
187.924,20.1055
188.924,20.0767
189.925,20.0469
190.925,20.0176
191.925,19.9883
192.925,19.9564
193.925,19.9262
194.925,19.8958
195.925,19.867
196.925,19.8367
197.925,19.8073
198.925,19.7774
199.925,19.7463
200.925,19.7195
201.924,19.6909
202.925,19.6614
203.924,19.6322
204.925,19.6034
205.925,19.5745
206.925,19.5447
207.925,19.5152
208.925,19.4853
209.924,19.4579
210.925,19.4285
211.925,19.3999
212.925,19.3707
213.925,19.3413
214.924,19.313
215.924,19.2845
216.925,19.2553
217.925,19.2263
218.924,19.198
219.924,19.1699
220.924,19.1407
221.925,19.1114
222.925,19.0823
223.924,19.0551
224.925,19.026
225.925,18.999
226.925,18.9715
227.925,18.9434
228.925,18.9164
229.925,18.8897
230.925,18.8611
231.925,18.8353
232.925,18.8071
233.925,18.78
234.925,18.7522
235.925,18.7247
236.925,18.6965
237.925,18.6692
238.925,18.6389
239.924,18.6125
240.925,18.5852
241.925,18.558
242.925,18.5307
243.924,18.5023
244.924,18.4744
245.925,18.4456
246.925,18.4183
247.925,18.391
248.925,18.3638
249.925,18.335
250.924,18.3064
251.925,18.2774
252.925,18.25
253.925,18.2213
254.925,18.1925
255.924,18.1623
256.925,18.1344
257.925,18.1071
258.924,18.0781
259.924,18.0498
260.925,18.0226
261.925,17.9957
262.925,17.9674
263.925,17.9406
264.924,17.9121
265.925,17.8853
266.925,17.8587
267.925,17.8313
268.925,17.8052
269.925,17.7784
270.925,17.752
271.925,17.7255
272.924,17.6998
273.925,17.673
274.925,17.6456
275.925,17.6204
276.925,17.5927
277.924,17.5696
278.925,17.5435
279.925,17.5178
280.925,17.493
281.925,17.468
282.925,17.4425
283.924,17.4185
284.924,17.3917
285.925,17.3661
286.925,17.3394
287.924,17.3129
288.925,17.2869
289.925,17.2618
290.924,17.2347
291.925,17.2094
292.925,17.1823
293.925,17.1572
294.925,17.1315
295.925,17.1062
296.925,17.0805
297.925,17.0538
298.925,17.0284
299.925,17.0021
300.925,16.9767
301.924,16.9499
302.925,16.9227
303.925,16.897
304.925,16.8737
305.924,16.847
306.925,16.822
307.925,16.7954
308.925,16.7702
309.925,16.7463
310.924,16.7212
311.925,16.6958
312.925,16.6706
313.925,16.6459
314.924,16.6216
315.924,16.5957
316.925,16.5722
317.925,16.5484
318.924,16.5263
319.925,16.502
320.924,16.4805
321.925,16.4549
322.925,16.4324
323.925,16.4071
324.925,16.3844
325.924,16.3583
326.924,16.3343
327.925,16.31
328.925,16.2859
329.925,16.261
330.925,16.237
331.925,16.2116
332.925,16.188
333.925,16.1617
334.925,16.136
335.924,16.1108
336.925,16.0861
337.924,16.0618
338.924,16.0387
339.925,16.0154
340.924,15.9924
341.925,15.9677
342.925,15.9445
343.924,15.9212
344.925,15.8985
345.925,15.8738
346.924,15.8535
347.925,15.831
348.925,15.8081
349.925,15.7864
350.925,15.7642
351.925,15.7432
352.924,15.7195
353.925,15.6962
354.925,15.6732
355.925,15.6497
356.925,15.6276
357.925,15.6046
358.925,15.58
359.924,15.5572
360.925,15.5327
361.925,15.5103
362.924,15.4862
363.925,15.4619
364.925,15.4385
365.925,15.4153
366.925,15.3918
367.925,15.3667
368.925,15.3439
369.925,15.3198
370.925,15.2963
371.924,15.2725
372.925,15.2497
373.925,15.2261
374.924,15.204
375.925,15.1811
376.925,15.159
377.925,15.1371
378.925,15.1149
379.925,15.0932
380.925,15.0707
381.924,15.0503
382.925,15.028
383.925,15.006
384.925,14.9847
385.924,14.9637
386.925,14.9423
387.925,14.9218
388.925,14.8981
389.925,14.8778
390.925,14.8562
391.925,14.8337
392.925,14.8133
393.924,14.7901
394.925,14.7685
395.925,14.7461
396.925,14.7245
397.925,14.7028
398.925,14.6803
399.925,14.6573
400.925,14.6346
401.924,14.6128
402.925,14.5904
403.925,14.5683
404.925,14.5465
405.925,14.522
406.925,14.5011
407.925,14.4784
408.925,14.4547
409.924,14.4317
410.925,14.408
411.925,14.3857
412.925,14.3647
413.925,14.3415
414.925,14.3194
415.924,14.2995
416.925,14.2781
417.925,14.2572
418.925,14.2356
419.925,14.2157
420.925,14.1945
421.925,14.1722
422.925,14.1522
423.925,14.1327
424.925,14.1118
425.925,14.0924
426.925,14.0718
427.925,14.0515
428.925,14.0315
429.925,14.0112
430.925,13.9909
431.925,13.9695
432.925,13.9489
433.924,13.9288
434.925,13.9064
435.925,13.8851
436.925,13.8638
437.925,13.8448
438.924,13.8228
439.925,13.8011
440.925,13.78
441.925,13.7562
442.925,13.7349
443.925,13.7142
444.925,13.6891
445.925,13.6676
446.924,13.6473
447.925,13.6274
448.925,13.606
449.925,13.5856
450.924,13.566
451.925,13.5452
452.925,13.5253
453.925,13.5059
