t (s),V (mV)
0,17.0075
0.966,17.0128
1.901,16.9562
2.866,16.891
3.858,16.7981
4.858,16.7116
5.859,16.6255
6.859,16.5418
7.859,16.4586
8.859,16.374
9.859,16.291
10.859,16.2082
11.859,16.1256
12.859,16.0441
13.859,15.9627
14.859,15.8826
15.859,15.8019
16.859,15.7218
17.858,15.6422
18.859,15.5621
19.859,15.4833
20.859,15.4047
21.859,15.3257
22.859,15.248
23.859,15.1714
24.859,15.0938
25.859,15.0177
26.859,14.941
27.859,14.8649
28.859,14.7894
29.859,14.7135
30.859,14.6398
31.859,14.5648
32.859,14.4905
33.859,14.4171
34.858,14.3437
35.859,14.2703
36.859,14.1974
37.859,14.1262
38.859,14.0527
39.859,13.98
40.859,13.9076
41.859,13.8379
42.859,13.7653
43.859,13.694
44.859,13.6236
45.859,13.5546
46.858,13.4853
47.859,13.4148
48.859,13.3461
49.859,13.2777
50.859,13.2088
51.859,13.1409
52.859,13.0731
53.859,13.0057
54.859,12.9385
55.859,12.8727
56.859,12.807
57.859,12.7411
58.859,12.6752
59.859,12.6105
60.859,12.545
61.859,12.4814
62.859,12.4162
63.859,12.351
64.859,12.2881
65.859,12.2233
66.859,12.1594
67.859,12.0968
68.859,12.0324
69.859,11.9705
70.859,11.909
71.859,11.8478
72.859,11.7884
73.859,11.7275
74.858,11.6703
75.858,11.6096
76.858,11.5489
77.859,11.4893
78.859,11.4298
79.859,11.3705
80.859,11.3125
81.859,11.2538
82.858,11.1974
83.859,11.1356
84.859,11.079
85.859,11.0215
86.859,10.9643
87.859,10.907
88.859,10.8517
89.859,10.7956
90.859,10.737
91.859,10.6826
92.858,10.6274
93.858,10.5723
94.857,10.5181
95.857,10.4617
96.858,10.4079
97.857,10.3519
98.858,10.2988
99.858,10.2466
100.858,10.1925
101.858,10.1399
102.857,10.0878
103.858,10.0364
104.858,9.9839
105.859,9.9321
106.859,9.8797
107.859,9.8295
108.859,9.779
109.859,9.7297
110.859,9.6802
111.859,9.6301
112.859,9.579
113.859,9.5297
114.859,9.4795
115.859,9.4307
116.859,9.3813
117.859,9.3318
118.859,9.2832
119.859,9.2336
120.859,9.1852
121.859,9.1382
122.859,9.0905
123.858,9.0427
124.859,8.9958
125.859,8.9485
126.859,8.9012
127.859,8.8546
128.859,8.8077
129.859,8.7621
130.859,8.7155
131.859,8.6706
132.859,8.6262
133.859,8.5792
134.859,8.5336
